M&A SDC Deal Number,Date Announced,Rank Date,"Rank Value inc. Net Debt of Target
(EUR, Millions)",Target Full Name,Target Macro Industry,Target Mid Industry,Target Nation,Acquiror Full Name,Acquiror Macro Industry,Acquiror Mid Industry,Acquiror Nation,"Target Financial Advisor Name
('|')","Acquiror Financial Advisor Name
('|')","Target Net Sales Last 12 Months
(EUR, Millions)","EBITDA Last 12 Months
(EUR, Millions)","Enterprise Value at Announcement
(EUR, Millions, '|')",Target Industry Sector,Target Public Status,,Year
3394245020,17/05/2019,17/05/2019,"1,127.14",Cray Inc,High Technology,Computers & Peripherals,United States,Hewlett Packard Enterprise Co,High Technology,Computers & Peripherals,United States,Morgan Stanley,Deutsche Bank,399.30,-56.78,"1,128.77",Computer and Office Equipment,Public,,"2,019.00"
3395428040,15/05/2019,15/05/2019,165.32,Mikhailovsky GOK JSC,Materials,Metals & Mining,Russia,Lebedinskii Gorno-Obogatitelnyi Kombinat AO,Materials,Metals & Mining,Russia,,,"2,581.55",834.23,"2,020.38",Mining,Public,,"2,019.00"
3367147040,14/05/2019,14/05/2019,507.00,Aeroport Toulouse-Blagnac SA,Industrials,Transportation & Infrastructure,France,Eiffage SA,Industrials,Transportation & Infrastructure,France,Lazard,Credit Suisse Group,150.03,52.07,"1,091.62",Air Transportation and Shipping,Private,,"2,019.00"
3390933040,13/05/2019,13/05/2019,"3,266.20",WestJet Airlines Ltd,Industrials,Transportation & Infrastructure,Canada,Onex Corp,Financials,Alternative Financial Investments,Canada,CIBC Capital Markets|Bank of America Merrill Lynch,Barclays|Morgan Stanley|RBC Capital Markets|UBS Investment Bank,"3,206.43",427.16,"3,253.85",Air Transportation and Shipping,Public,,"2,019.00"
3389734040,09/05/2019,09/05/2019,362.07,Boyner Perakende Ve Tekstil Yatirimlari As,Consumer Staples,Textiles & Apparel,Turkey,Mayhoola for Investments LLC,Financials,Other Financials,Qatar,,,216.01,21.19,"1,416.83",Textile and Apparel Products,Public,,"2,019.00"
3392665040,09/05/2019,09/05/2019,84.98,Fiera Capital Corp,Financials,Asset Management,Canada,Natixis Investment Managers,Financials,Asset Management,France,GMP Securities Ltd,RBC Capital Markets,378.37,85.03,"1,021.70",Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,019.00"
3427883040,09/05/2019,09/05/2019,65.61,Norwegian Property ASA,Real Estate,Non Residential,Norway,Norwegian Property ASA,Real Estate,Non Residential,Norway,,DnB Markets AS,82.04,62.95,"1,322.26",Real Estate; Mortgage Bankers and Brokers,Public,,"2,019.00"
3564471040,08/05/2019,08/05/2019,208.20,Technogym SpA,Consumer Products and Services,Other Consumer Products,Italy,Technogym SpA,Consumer Products and Services,Other Consumer Products,Italy,,,632.92,144.09,"2,127.40",Miscellaneous Manufacturing,Public,,"2,019.00"
3388213020,06/05/2019,06/05/2019,"2,347.71",Chesapeake Lodging Trust,Real Estate,REITs,United States,Park Hotels & Resorts Inc,Media and Entertainment,Hotels and Lodging,United States,JP Morgan Securities LLC,Barclays|Bank of America Merrill Lynch,119.23,28.82,"2,348.32",Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,019.00"
3387762040,01/05/2019,01/05/2019,75.46,Home Capital Group Inc,Financials,Other Financials,Canada,Kingsferry Capital Management Group Ltd,Financials,Other Financials,China (Mainland),,,279.87,132.15,"2,665.93",Credit Institutions,Public,,"2,019.00"
3398775040,01/05/2019,01/05/2019,33.48,Sydbank A/S,Financials,Banks,Denmark,Sydbank A/S,Financials,Banks,Denmark,,,488.45,142.95,"2,069.52","Commercial Banks, Bank Holding Companies",Public,,"2,019.00"
3387125020,30/04/2019,30/04/2019,"1,156.16",WageWorks Inc,Consumer Products and Services,Other Consumer Products,United States,HealthEquity Inc,High Technology,Software,United States,Evercore Partners,Wells Fargo Securities LLC|Perella Weinberg Partners LP|Wells Fargo Bank NA,105.40,17.94,"1,138.19",Business Services,Public,,"2,019.00"
3394177040,30/04/2019,30/04/2019,119.97,Genworth MI Canada Inc,Financials,Insurance,Canada,Genworth MI Canada Inc,Financials,Insurance,Canada,,,553.92,400.08,"2,517.08",Insurance,Public,,"2,019.00"
3386100040,26/04/2019,26/04/2019,"1,697.63",Parques Reunidos Servicios Centrales SA,Media and Entertainment,Recreation & Leisure,Spain,Piolin BidCo SAU,Financials,Other Financials,Spain,Citigroup Global Markets Inc,Morgan Stanley|Goldman Sachs International|JP Morgan,596.10,201.30,"2,193.55",Amusement and Recreation Services,Public,,"2,019.00"
3386741040,25/04/2019,25/04/2019,406.98,Ivanhoe Mines Ltd,Materials,Metals & Mining,Canada,CITIC Metal Africa Investments Ltd,Financials,Other Financials,Hong Kong,,,18.83,-18.84,"2,276.91",Mining,Public,,"2,019.00"
3385965020,23/04/2019,23/04/2019,116.32,UMB Financial Corp,Financials,Banks,United States,UMB Financial Corp,Financials,Banks,United States,,,870.77,247.57,"2,556.16","Commercial Banks, Bank Holding Companies",Public,,"2,019.00"
3535590040,23/04/2019,23/04/2019,96.20,Dios Fastigheter AB,Real Estate,Real Estate Management & Development,Sweden,Dios Fastigheter AB,Real Estate,Real Estate Management & Development,Sweden,,,174.28,104.45,"2,077.82",Real Estate; Mortgage Bankers and Brokers,Public,,"2,019.00"
3381210020,15/04/2019,15/04/2019,"4,039.76",Advanced Disposal Services Inc,Energy and Power,Water and Waste Management,United States,Waste Management Inc,Energy and Power,Water and Waste Management,United States,UBS Investment Bank,Centerview Partners LLC,"1,474.02",339.83,"4,039.39",Sanitary Services,Public,,"2,019.00"
3381586020,15/04/2019,15/04/2019,"1,634.53",Electronics For Imaging Inc,High Technology,Computers & Peripherals,United States,Siris Capital Group LLC,Financials,Alternative Financial Investments,United States,"Greenhill & Co, LLC|Morgan Stanley",Deutsche Bank Securities|Barclays PLC|RBC Capital Markets|KKR Capital Markets LLC|Macquarie Capital Ltd|Credit Suisse,890.49,76.31,"1,553.28",Computer and Office Equipment,Public,,"2,019.00"
3384575040,12/04/2019,10/05/2019,15.93,Slovnaft as,Energy and Power,Oil & Gas,Slovakia,MOL Hungarian Oil & Gas PLC,Energy and Power,Petrochemicals,Hungary,,,"3,885.66",269.53,"1,073.65",Oil and Gas; Petroleum Refining,Public,,"2,019.00"
3379988020,10/04/2019,10/04/2019,"1,055.35",Global Brass & Copper Holdings Inc,Materials,Metals & Mining,United States,Wieland-Werke AG,Materials,Metals & Mining,Germany,JP Morgan Securities LLC,,383.61,30.67,"1,054.23",Metal and Metal Products,Public,,"2,019.00"
3378793040,09/04/2019,09/04/2019,"1,963.74",DNA Oyj,Telecommunications,Wireless,Finland,Telenor Mobile Holding AS,Financials,Other Financials,Norway,Nordea PLC,Barclays,918.30,286.90,"3,230.89",Telecommunications,Public,,"2,019.00"
3378854040,09/04/2019,09/04/2019,"1,267.16",DNA Oyj,Telecommunications,Wireless,Finland,Telenor Mobile Holding AS,Financials,Other Financials,Norway,Morgan Stanley|Citi,Barclays PLC|SEB,918.30,286.90,"3,230.89",Telecommunications,Public,,"2,019.00"
3387504040,09/04/2019,09/04/2019,349.26,Testa Residencial SOCIMI SA,Real Estate,REITs,Spain,Tropic Real Estate Holding SL,Financials,Other Financials,Spain,,,79.96,44.25,"3,610.34",Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,019.00"
3442700040,08/04/2019,08/04/2019,125.61,Universal Coal PLC,Materials,Metals & Mining,United Kingdom,Afrimat Ltd,Industrials,Building/Construction & Engineering,South Africa,,,237.85,59.55,"1,315.50",Mining,Public,,"2,019.00"
3377733040,05/04/2019,05/04/2019,"2,849.57",Lenta Ltd,Retail,Food & Beverage Retailing,Russia,Magnit PJSC,Retail,Food & Beverage Retailing,Russia,JP Morgan,,"5,441.79",471.76,"2,856.53",Retail Trade-Food Stores,Public,,"2,019.00"
3377848040,05/04/2019,05/04/2019,436.01,Alpiq Holding AG,Energy and Power,Power,Switzerland,Investor Group,Financials,Other Financials,Switzerland,,Rothschild & Co|Credit Suisse Group,"4,607.48",-19.55,"1,925.54","Electric, Gas, and Water Distribution",Public,,"2,019.00"
3848029040,05/04/2019,26/11/2021,124.51,Forbo International SA,Industrials,Building/Construction & Engineering,Switzerland,Forbo International SA,Industrials,Building/Construction & Engineering,Switzerland,,,"1,093.06",220.34,"1,042.27",Miscellaneous Manufacturing,Public,,"2,019.00"
3382626020,02/04/2019,02/04/2019,178.38,Tellurian Inc,Energy and Power,Oil & Gas,United States,Total SA,Energy and Power,Oil & Gas,France,,,7.53,-112.55,"2,133.22",Oil and Gas; Petroleum Refining,Public,,"2,019.00"
3375565040,01/04/2019,01/04/2019,582.11,Lenta Ltd,Retail,Food & Beverage Retailing,Russia,Severgroup OOO,Financials,Other Financials,Russia,JP Morgan,Citigroup Global Markets Ltd,"5,441.79",471.76,"2,844.65",Retail Trade-Food Stores,Public,,"2,019.00"
3375579040,28/03/2019,01/04/2019,115.78,Lenta Ltd,Retail,Food & Beverage Retailing,Russia,Severgroup OOO,Financials,Other Financials,Russia,,Citigroup Global Markets Ltd,"5,977.31",518.18,"2,979.54",Retail Trade-Food Stores,Public,,"2,019.00"
3371573040,27/03/2019,01/04/2019,533.98,Lenta Ltd,Retail,Food & Beverage Retailing,Russia,Severgroup OOO,Financials,Other Financials,Russia,Credit Suisse Group,Citigroup Global Markets Ltd,"5,441.79",471.76,"2,851.73",Retail Trade-Food Stores,Public,,"2,019.00"
3374346020,27/03/2019,27/03/2019,311.49,Atlas Air Worldwide Holdings Inc,Industrials,Transportation & Infrastructure,United States,Amazon.com Inc,Retail,Other Retailing,United States,Morgan Stanley,,"2,334.76",488.78,"3,196.28",Air Transportation and Shipping,Public,,"2,019.00"
3369770020,25/03/2019,25/03/2019,"2,049.57",TIER REIT Inc,Real Estate,REITs,United States,Cousins Properties Inc,Real Estate,REITs,United States,JP Morgan Securities LLC,Morgan Stanley,190.53,95.07,"2,049.92",Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,019.00"
3289073040,22/03/2019,22/05/2019,"3,141.88",Avon Products Inc,Consumer Products and Services,Other Consumer Products,United Kingdom,Natura Cosmeticos SA,Consumer Products and Services,Other Consumer Products,Brazil,Bank of America Merrill Lynch|PJT Partners Inc|Goldman Sachs & Co,Morgan Stanley|UBS Investment Bank,"4,782.63",461.08,"3,221.86","Soaps, Cosmetics and Personal-Care Products",Public,,"2,019.00"
3516107040,21/03/2019,21/03/2019,212.08,Tieto Oyj,High Technology,IT Consulting & Services,Finland,Tieto Oyj,High Technology,IT Consulting & Services,Finland,,,"1,599.50",208.20,"3,528.65",Business Services,Public,,"2,019.00"
3536953040,20/03/2019,20/03/2019,49.60,Arion Banki hf,Financials,Banks,Iceland,Arion Banki hf,Financials,Banks,Iceland,,,339.99,130.24,"3,649.02","Commercial Banks, Bank Holding Companies",Public,,"2,019.00"
3366161020,19/03/2019,19/03/2019,"1,853.30",HFF Inc,Real Estate,Non Residential,United States,Jones Lang LaSalle IP Inc,Real Estate,Real Estate Management & Development,United States,Morgan Stanley,JP Morgan,577.25,122.96,"1,766.67",Real Estate; Mortgage Bankers and Brokers,Public,,"2,019.00"
3366897020,14/03/2019,14/03/2019,88.30,MDC Partners Inc,Media and Entertainment,Advertising & Marketing,United States,Stagwell Group LLC,Financials,Alternative Financial Investments,United States,JP Morgan,,"1,287.13",118.54,"1,163.83",Advertising Services,Public,,"2,019.00"
3365984020,13/03/2019,13/03/2019,104.47,Kearny Financial Corp,Financials,Banks,United States,Kearny Financial Corp,Financials,Banks,United States,,,139.63,51.45,"2,208.66","Savings and Loans, Mutual Savings Banks",Public,,"2,019.00"
3362234040,11/03/2019,11/03/2019,286.40,CIR Compagnie Industriali Riunite SpA,Industrials,Automobiles & Components,Italy,Cofide Gruppo De Benedetti SpA,Financials,Other Financials,Italy,Mediobanca,Natixis|Equita SIM SpA|Societe Generale,"2,817.43",299.52,"1,016.72",Transportation Equipment,Public,,"2,019.00"
3393741020,11/03/2019,11/03/2019,525.01,Tallgrass Energy LP,Energy and Power,Oil & Gas,United States,Enagas SA,Energy and Power,Oil & Gas,Spain,,Mediobanca|Rothschild & Co,691.66,398.48,"4,949.45","Electric, Gas, and Water Distribution",Public,,"2,019.00"
3393818020,11/03/2019,11/03/2019,74.19,Tallgrass Energy LP,Energy and Power,Oil & Gas,United States,Enagas SA,Energy and Power,Oil & Gas,Spain,,Rothschild & Co,691.66,398.48,"4,947.93","Electric, Gas, and Water Distribution",Public,,"2,019.00"
3435222040,11/03/2019,11/03/2019,177.08,Television Francaise 1 SA,Media and Entertainment,Broadcasting,France,Television Francaise 1 SA,Media and Entertainment,Broadcasting,France,,,"2,288.30",457.60,"1,796.05",Radio and Television Broadcasting Stations,Public,,"2,019.00"
3833388020,11/03/2019,11/03/2019,75.95,ConnectOne Bancorp Inc,Financials,Banks,United States,ConnectOne Bancorp Inc,Financials,Banks,United States,,,209.68,150.12,"1,434.19","Commercial Banks, Bank Holding Companies",Public,,"2,019.00"
3361268040,09/03/2019,09/03/2019,847.25,Charter Court Financial Services Group PLC,Real Estate,REITs,United Kingdom,OneSavings Bank PLC,Financials,Credit Institutions,United Kingdom,Credit Suisse|RBC Europe Ltd,Barclays|Rothschild & Co,356.94,134.92,"2,244.64",Real Estate; Mortgage Bankers and Brokers,Private,,"2,019.00"
3358959020,04/03/2019,04/03/2019,101.07,Bluegreen Vacations Corp,Real Estate,Real Estate Management & Development,United States,BBX Capital Corp,Financials,Banks,United States,,Twinberry Partners LLC,589.23,126.86,"1,395.12",Real Estate; Mortgage Bankers and Brokers,Public,,"2,019.00"
3362971040,04/03/2019,04/03/2019,807.98,Euromoney Institutional Investor PLC,Media and Entertainment,Publishing,United Kingdom,Shareholders,Financials,Other Financials,United Kingdom,Lazard|JP Morgan Cazenove|Credit Suisse,,438.02,122.84,"1,560.76","Printing, Publishing, and Allied Services",Public,,"2,019.00"
3366206040,04/03/2019,04/03/2019,58.79,Canfor Corp,Materials,Paper & Forest Products,Canada,Canfor Corp,Materials,Paper & Forest Products,Canada,,,"3,225.28",562.08,"1,282.33","Wood Products, Furniture, and Fixtures",Public,,"2,019.00"
3440059040,28/02/2019,28/02/2019,186.15,Subsea 7 SA,Energy and Power,Oil & Gas,United Kingdom,Subsea 7 SA,Energy and Power,Oil & Gas,United Kingdom,,,"3,552.04",585.50,"4,072.83",Oil and Gas; Petroleum Refining,Public,,"2,019.00"
3351402020,25/02/2019,25/02/2019,"3,708.88",Spark Therapeutics Inc,Healthcare,Biotechnology,United States,Roche Holdings Inc,Healthcare,Pharmaceuticals,United States,Centerview Partners LLC|Cowen,Citi,56.44,-162.54,"3,703.33",Drugs,Public,,"2,019.00"
3351894020,25/02/2019,25/02/2019,"2,219.87",Multi-Color Corp,Media and Entertainment,Publishing,United States,Platinum Equity Advisors LLC,Financials,Alternative Financial Investments,United States,Goldman Sachs & Co|William Blair & Co,Deutsche Bank|Bank of America Merrill Lynch,"1,515.21",249.22,"2,216.54","Printing, Publishing, and Allied Services",Public,,"2,019.00"
3353517040,24/02/2019,24/02/2019,144.79,VTG AG,Industrials,Transportation & Infrastructure,Germany,Warwick Holding GmbH,Financials,Other Financials,Germany,,JP Morgan,"1,072.60",331.00,"3,932.28",Transportation and Shipping (except air),Public,,"2,019.00"
3350830040,22/02/2019,22/02/2019,"1,382.10",Dairy Crest Group PLC,Consumer Staples,Food and Beverage,United Kingdom,Saputo Dairy UK Ltd,Financials,Other Financials,United Kingdom,"Shore Capital Group|Greenhill & Co, LLC|Peel Hunt LLP",Lazard & Co Ltd,518.06,98.54,"1,381.56",Food and Kindred Products,Public,,"2,019.00"
3350833040,22/02/2019,22/02/2019,"1,491.55",Provident Financial PLC,Financials,Credit Institutions,United Kingdom,Non-Standard Finance PLC,Financials,Credit Institutions,United Kingdom,Barclays|Jefferies LLC,Shore Capital Stockbrokers|Deutsche Bank|Ondra Partners,"1,250.68",275.30,"3,342.06",Credit Institutions,Public,,"2,019.00"
3374020040,19/02/2019,19/02/2019,176.22,Capital Power Corp,Energy and Power,Power,Canada,Capital Power Corp,Energy and Power,Power,Canada,,,891.29,377.23,"4,235.92","Electric, Gas, and Water Distribution",Public,,"2,019.00"
3356245040,14/02/2019,14/02/2019,225.00,Astaldi SpA,Industrials,Building/Construction & Engineering,Italy,Salini Impregilo SpA,Industrials,Building/Construction & Engineering,Italy,Rothschild & Co|Morgan Stanley|Citi,Vitale & Associati SpA|IMAP|Bank of America Merrill Lynch|Equita SIM SpA,"1,028.29","-1,687.55","2,423.84",Construction Firms,Public,,"2,019.00"
3364617020,13/02/2019,13/02/2019,10.56,Old National Bancorp,Financials,Banks,United States,Old National Bancorp,Financials,Banks,United States,,,570.04,223.85,"4,853.09","Commercial Banks, Bank Holding Companies",Public,,"2,019.00"
3366268020,13/02/2019,13/02/2019,529.85,Louisiana-Pacific Corp,Materials,Paper & Forest Products,United States,Louisiana-Pacific Corp,Materials,Paper & Forest Products,United States,,,"2,465.79",581.75,"2,003.39","Wood Products, Furniture, and Fixtures",Public,,"2,019.00"
3386626040,13/02/2019,03/07/2019,"3,499.59",OSRAM Licht AG,Industrials,Other Industrials,Germany,Luz (C-Bc) Bidco GmbH,Financials,Other Financials,Germany,Lazard|Perella Weinberg Partners LP,Nomura Securities|Deutsche Bank|Credit Suisse Group|Macquarie Group|Goldman Sachs & Co|JP Morgan,"2,540.00",122.00,"3,499.59",Electronic and Electrical Equipment,Public,,"2,019.00"
3206879040,12/02/2019,12/02/2019,442.81,Cimpress NV,Media and Entertainment,Publishing,Netherlands,Cimpress NV,Media and Entertainment,Publishing,Netherlands,,,"2,279.71",253.40,"3,455.97","Printing, Publishing, and Allied Services",Public,,"2,019.00"
3345558020,12/02/2019,12/02/2019,"2,871.97",Ellie Mae Inc,High Technology,Software,United States,Thoma Bravo LP,Financials,Alternative Financial Investments,United States,JP Morgan Securities LLC,Jefferies LLC,418.75,79.75,"2,859.53",Prepackaged Software,Public,,"2,019.00"
3346618040,12/02/2019,12/02/2019,392.13,Terreis SA,Real Estate,REITs,France,Terreis SA,Real Estate,REITs,France,,Goldman Sachs & Co,70.56,31.75,"1,589.29",Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,019.00"
3346491020,11/02/2019,11/02/2019,"1,405.78",Livent Corp,Materials,Chemicals,United States,Shareholders,Financials,Other Financials,United States,Bank of America Merrill Lynch|Goldman Sachs & Co,,385.82,160.00,"1,675.48",Chemicals and Allied Products,Public,,"2,019.00"
3347093020,11/02/2019,11/02/2019,46.40,Carey Watermark Investors Inc,Real Estate,REITs,United States,Everest REIT Investors I LLC,Real Estate,REITs,United States,,,535.26,115.92,"2,076.67",Investment & Commodity Firms/Dealers/Exchanges,Private,,"2,019.00"
3335401040,08/02/2019,08/02/2019,249.46,Banco di Sardegna SpA,Financials,Banks,Italy,BPER Banca SpA,Financials,Banks,Italy,Banca IMI,KPMG|Barclays PLC|Citi|Equita SIM SpA,357.02,83.16,"1,026.69","Commercial Banks, Bank Holding Companies",Public,,"2,019.00"
3343007020,05/02/2019,05/02/2019,237.22,SunCoke Energy Partners LP,Materials,Metals & Mining,United States,SunCoke Energy Inc,Materials,Metals & Mining,United States,Citi,Evercore Partners,777.84,182.75,"1,306.40",Metal and Metal Products,Public,,"2,019.00"
3343107040,05/02/2019,05/02/2019,169.98,Distribuidora Internacional de Alimentacion SA,Retail,Food & Beverage Retailing,Spain,L1R Invest1 Holdings SARL,Financials,Other Financials,Luxembourg,Rothschild & Co|DELOITTE (Spanish Office)|Bank of America Merrill Lynch,HSBC Holdings PLC|Barclays PLC|UBS Investment Bank|Citi|PJT Partners LP|Duff & Phelps Corp|Goldman Sachs & Co|Societe Generale,"7,288.83",139.77,"1,868.63",Retail Trade-Food Stores,Public,,"2,019.00"
3343736040,05/02/2019,05/02/2019,379.59,Cross London Trains Holdco 2 Ltd,Industrials,Transportation & Infrastructure,United Kingdom,Investor Group,Financials,Other Financials,United Kingdom,Rothschild & Co,Samsung Securities|Cantor Fitzgerald Inc,151.50,155.33,"3,029.62",Transportation and Shipping (except air),Private,,"2,019.00"
3342886020,04/02/2019,04/02/2019,"2,261.41",Liberty Expedia Holdings Inc,Retail,Internet and Catalog Retailing,United States,Expedia Group Inc,Consumer Products and Services,Travel Services,United States,Moelis & Co,PJT Partners LP,"10,284.34","1,560.13","2,236.07",Business Services,Public,,"2,019.00"
3339158020,28/01/2019,28/01/2019,"3,860.78",Versum Materials Inc,Materials,Chemicals,United States,Entegris Inc,Materials,Containers & Packaging,United States,Lazard|Citi,Morgan Stanley,"1,204.12",396.20,"3,853.65",Chemicals and Allied Products,Public,,"2,019.00"
3339293020,28/01/2019,28/01/2019,"3,098.78",TCF Financial Corp,Financials,Banks,United States,Chemical Financial Corp,Financials,Banks,United States,Perkins & Company|JP Morgan,Keefe Bruyette & Woods Inc,"1,068.06",623.60,"4,545.41","Commercial Banks, Bank Holding Companies",Public,,"2,019.00"
3340569040,25/01/2019,25/01/2019,55.14,Peyto Exploration & Development Corp,Energy and Power,Oil & Gas,Canada,Peyto Exploration & Development Corp,Energy and Power,Oil & Gas,Canada,,,304.04,233.04,"1,508.68",Oil and Gas; Petroleum Refining,Public,,"2,019.00"
3338413040,24/01/2019,24/01/2019,139.40,Parex Resources Inc,Energy and Power,Oil & Gas,Canada,Parex Resources Inc,Energy and Power,Oil & Gas,Canada,,,726.30,543.54,"1,482.23",Oil and Gas; Petroleum Refining,Public,,"2,019.00"
3338505040,24/01/2019,24/01/2019,190.77,Mediaset Espana Comunicacion SA,Media and Entertainment,Broadcasting,Spain,Mediaset Espana Comunicacion SA,Media and Entertainment,Broadcasting,Spain,,,974.48,429.89,"1,759.61",Radio and Television Broadcasting Stations,Public,,"2,019.00"
3338040040,23/01/2019,23/01/2019,104.90,Crescent Point Energy Corp,Energy and Power,Oil & Gas,Canada,Crescent Point Energy Corp,Energy and Power,Oil & Gas,Canada,,,"2,123.06","1,373.51","4,309.28",Oil and Gas; Petroleum Refining,Public,,"2,019.00"
3352348040,23/01/2019,23/01/2019,68.99,Heidelberger Druckmaschinen AG,Industrials,Machinery,Germany,Masterwork Machinery SARL,Financials,Other Financials,Luxembourg,,Huatai United Securities Co,"2,456.15",232.32,"1,166.00",Machinery,Public,,"2,019.00"
3338628020,17/01/2019,17/01/2019,211.06,CVR Refining LP,Energy and Power,Petrochemicals,United States,CVR Energy Inc,Energy and Power,Petrochemicals,United States,,,"4,427.09",427.29,"1,483.81",Oil and Gas; Petroleum Refining,Public,,"2,019.00"
3338671020,17/01/2019,17/01/2019,52.97,CVR Refining LP,Energy and Power,Petrochemicals,United States,CVR Energy Inc,Energy and Power,Petrochemicals,United States,,,"4,427.09",427.29,"1,483.81",Oil and Gas; Petroleum Refining,Public,,"2,019.00"
3355098040,17/01/2019,17/01/2019,110.56,Getin Noble Bank SA,Financials,Banks,Poland,Idea Bank SA,Financials,Banks,Poland,,,332.35,-45.23,"1,957.21","Commercial Banks, Bank Holding Companies",Public,,"2,019.00"
3334481040,16/01/2019,16/01/2019,"4,226.54",Panalpina Welttransport (Holding) AG,Industrials,Transportation & Infrastructure,Switzerland,Dsv As,Industrials,Transportation & Infrastructure,Denmark,KPMG|Rothschild & Co|UBS Investment Bank|Citi|Alantra Partners SA|Goldman Sachs & Co,JP Morgan,"5,470.27",262.95,"4,181.63",Air Transportation and Shipping,Public,,"2,019.00"
3333563020,14/01/2019,14/01/2019,"1,368.26",Gannett Co Inc,High Technology,E-commerce / B2B,United States,MediaNews Group Inc,Media and Entertainment,Publishing,United States,"Greenhill & Co, LLC|Goldman Sachs & Co",Moelis & Co,"2,543.25",265.83,"1,367.43","Printing, Publishing, and Allied Services",Public,,"2,019.00"
3336517040,14/01/2019,14/01/2019,63.95,Chorus Aviation Inc,Industrials,Transportation & Infrastructure,Canada,Air Canada,Industrials,Transportation & Infrastructure,Canada,,,927.86,215.68,"1,462.49",Air Transportation and Shipping,Public,,"2,019.00"
3331086040,07/01/2019,07/01/2019,"1,733.78",Luxoft Holding Inc,High Technology,IT Consulting & Services,Switzerland,DXC Technology Co,High Technology,IT Consulting & Services,United States,Credit Suisse Group,Guggenheim Securities LLC|Bank of America Merrill Lynch,770.29,81.02,"1,733.51",Business Services,Public,,"2,019.00"
3331129020,07/01/2019,07/01/2019,"3,941.95",QEP Resources Inc,Energy and Power,Oil & Gas,United States,Elliott Management Corp,Financials,Alternative Financial Investments,United States,Evercore Group|BMO Capital Markets,,"1,685.07","1,034.88","4,003.37",Oil and Gas; Petroleum Refining,Public,,"2,019.00"
3326051020,24/12/2018,24/12/2018,"1,530.40",MINDBODY Inc,High Technology,Internet Software & Services,United States,Vista Equity Partners Management LLC,Financials,Alternative Financial Investments,United States,Qatalyst Partners,Morgan Stanley,197.20,-18.84,"1,526.11",Business Services,Public,,"2,018.00"
3327802040,24/12/2018,24/12/2018,46.19,Home Capital Group Inc,Financials,Other Financials,Canada,Home Capital Group Inc,Financials,Other Financials,Canada,,,279.71,133.04,"2,375.72",Credit Institutions,Public,,"2,018.00"
3389739040,21/12/2018,21/12/2018,44.05,Europcar Mobility Group SA,Consumer Products and Services,Professional Services,France,Europcar Mobility Group SA,Consumer Products and Services,Professional Services,France,,,"2,875.58",478.08,"4,938.97",Repair Services,Public,,"2,018.00"
3325040040,20/12/2018,20/12/2018,41.67,Hispania Activos Inmobiliarios SOCIMI SA,Real Estate,REITs,Spain,Alzette Investment Sarl,Financials,Other Financials,Luxembourg,,Morgan Stanley,123.24,-41.15,"2,777.85",Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,018.00"
3458572040,20/12/2018,19/02/2019,42.24,Golden Ocean Group Ltd,Industrials,Transportation & Infrastructure,Norway,Golden Ocean Group Ltd,Industrials,Transportation & Infrastructure,Norway,,,572.04,207.50,"1,884.61",Transportation and Shipping (except air),Public,,"2,018.00"
3296542020,18/12/2018,18/12/2018,"1,182.83",Civitas Solutions Inc,Healthcare,Healthcare Providers & Services (HMOs),United States,Centerbridge Partners LP,Financials,Alternative Financial Investments,United States,Barclays,Cain Brothers Co.|RBC Capital Markets|UBS Investment Bank|KeyBanc Capital Markets Inc|Goldman Sachs & Co,"1,380.25",129.11,"1,181.26",Health Services,Public,,"2,018.00"
3322881040,18/12/2018,18/12/2018,582.94,Cherry AB,Media and Entertainment,Casinos & Gaming,Sweden,European Entertainment Intressenter BidCo AB,Financials,Other Financials,Sweden,KPMG|Carnegie Investment Bank AB,Lazard|ABG Sundal Collier,284.96,73.22,"1,004.50",Hotels and Casinos,Public,,"2,018.00"
3328792040,18/12/2018,18/12/2018,83.37,Stella-Jones Inc,Materials,Paper & Forest Products,Canada,Stella-Jones Inc,Materials,Paper & Forest Products,Canada,,,"1,380.92",158.08,"2,041.39","Wood Products, Furniture, and Fixtures",Public,,"2,018.00"
3276010040,14/12/2018,14/12/2018,"2,758.51",Belmond Ltd,Media and Entertainment,Hotels and Lodging,United Kingdom,LVMH Moet Hennessy Louis Vuitton SE,Retail,Apparel Retailing,France,Goldman Sachs & Co|JP Morgan,Citi|Credit Agricole CIB,474.93,57.10,"2,755.94",Hotels and Casinos,Public,,"2,018.00"
3339224040,13/12/2018,13/12/2018,119.07,Ansaldo STS SpA,Telecommunications,Telecommunications Equipment,Italy,Hitachi Rail Italy Investments Srl,Industrials,Machinery,Italy,,Goldman Sachs & Co,"1,399.82",109.59,"2,257.31",Communications Equipment,Public,,"2,018.00"
3319557040,11/12/2018,11/12/2018,"2,522.70",Ahlsell AB,Industrials,Building/Construction & Engineering,Sweden,Quimper AB,Financials,Other Financials,Sweden,Nordea,Deutsche Bank|Carnegie Investment Bank AB|Goldman Sachs International,"2,935.16",267.63,"3,081.71",Wholesale Trade-Durable Goods,Public,,"2,018.00"
